H10,H11,H1,H3,H4,H5,H6,H7,H8,H9,MP,N1,N2,N3,N4,N5,N6,N7,N8,N9,NP,NS,PA,PB1,PB2
EPI_ISL_138621|439161|H10N1|na|HA|2010-01-20|Asia/Georgia|anasplatyrhynchos|mallard|Wild,EPI_ISL_30680|266449|H11N9|3C.3a1|HA|2006|Asia/Japan|duck|duck|Domestic,EPI_ISL_6236|45734|H1N8|unassigned|HA|2005-08-10|NorthAmerica/UnitedStates|anasacuta|pintail|Wild,EPI_ISL_167459|545923|H3N2|na|HA|2010-01-16|Asia/China|anasplatyrhynchos|mallard|Wild,EPI_ISL_75705|263244|H4N6|unassigned|HA|2007-08-03|NorthAmerica/UnitedStates|anasplatyrhynchos|mallard|Wild,IRD_64866950|2006543027|H5N2|IRD_unlabel|HA|2018-02-12|Asia/Taiwan|goose|goose|Domestic,EPI_ISL_6502|49428|H6N8|unassigned|HA|2005-08-20|NorthAmerica/UnitedStates|anasacuta|pintail|Wild,EPI_ISL_30786|266466|H7N7|unassigned|HA|2008|Asia/Japan|duck|duck|Domestic,EPI_ISL_21004|60859|H8N2|na|HA|1986-10-24|NorthAmerica/UnitedStates|anasplatyrhynchos|mallard|Wild,EPI_ISL_8777|90149|H9N5|na|HA|2003|NorthAmerica/Canada|anasacuta|pintail|Wild,EPI_ISL_70431|244185|H9N2|na|MP|2006-05-29|Asia/Korea_Republicof|chicken|chicken|Domestic,EPI_ISL_201428|671834|H5N1|NA|NA|2015-05-12|Asia/Iraq|chicken|chicken|Domestic,EPI_ISL_7035|60863|H4N2|na|NA|2002-08-19|NorthAmerica/UnitedStates|anasplatyrhynchos|mallard|Wild,EPI_ISL_267439|1013791|H13N3|NA|NA|2012-07-17|Europe/Netherlands|chroicocephalusridibundus|black_headed_gull|Wild,EPI_ISL_273544|1070397|H3N4|unassigned|NA|2015-08-11|NorthAmerica/Canada|anasplatyrhynchos|mallard|Wild,EPI_ISL_24750|164741|H5N5|2.3.1|NA|2004|Asia/China|duck|duck|Domestic,EPI_ISL_697901|1833225|H5N6|2.3.4.4h|NA|2019-01-26|Asia/China|chicken|chicken|Domestic,EPI_ISL_109745|360903|H7N7|na|NA|2010|Europe/Belgium|otheravian|branta_canadensis|Wild,EPI_ISL_166584|542627|H5N8|2.3.4.4c|NA|2013-11-10|Asia/China|duck|duck|Domestic,EPI_ISL_4057|22123|H2N9|na|NA|1998|NorthAmerica/Canada|anasplatyrhynchos|mallard|Wild,EPI_ISL_234408|837772|H5N1|EA_nonGsGD|NP|2015-11-26|Europe/Poland|anasplatyrhynchos|mallard|Wild,EPI_ISL_81323|286980|H4N6|na|NS|2010-08-28|Europe/Poland|otheravian|common_teal|Wild,IRD_64866950|2006543026|H5N2|IRD_unlabel|PA|2018-02-12|Asia/Taiwan|goose|goose|Domestic,EPI_ISL_234408|837770|H5N1|EA_nonGsGD|PB1|2015-11-26|Europe/Poland|anasplatyrhynchos|mallard|Wild,IRD_64866950|2006543024|H5N2|IRD_unlabel|PB2|2018-02-12|Asia/Taiwan|goose|goose|Domestic
,,IRD_81844286|1885910545|H1N1|IRD_unlabel|HA|2019-03-15|/Korea_Republicof|spot_billedduck|spot_billedduck|Wild,,EPI_ISL_75702|263220|H4N6|na|HA|2007-08-03|NorthAmerica/UnitedStates|anasplatyrhynchos|mallard|Wild,EPI_ISL_697826|1820569|H5N2|2.3.4.4h|HA|2018-03-15|Asia/China|chicken|chicken|Domestic (uncertain),EPI_ISL_4497|24822|H6N2|na|HA|2004|Asia/China|duck|duck|Domestic,,EPI_ISL_267431|1013354|H8N1|na|HA|2011-12-24|Europe/Netherlands|anasplatyrhynchos|mallard_duck|Wild,EPI_ISL_344536|1381433|H9N2|2.3.4.4b|HA|2018-03-10|Africa/Egypt|chicken|chicken|Domestic,EPI_ISL_70426|244179|H9N2|na|MP|2006-02-10|Asia/Korea_Republicof|chicken|chicken|Domestic,EPI_ISL_290232|1134100|H4N1|na|NA|2013-09-01|Asia/Mongolia|duck|duck|Domestic,EPI_ISL_12415|118084|H5N2|EA_nonGsGD|NA|2004|Asia/China|duck|migratory_duck|Domestic,,EPI_ISL_9397|283366|H6N4|na|NA|2001|Asia/HongKong_SAR_|otheravian|quail|Wild,EPI_ISL_273611|1073069|H10N5|na|NA|2015-08-11|NorthAmerica/Canada|anasplatyrhynchos|mallard|Wild,EPI_ISL_697903|1833273|H5N6|2.3.4.4h|NA|2019-01-26|Asia/China|chicken|chicken|Domestic,,,EPI_ISL_267228|1010779|H6N9|na|NA|2011-09-01|Europe/Netherlands|anasplatyrhynchos|mallard_duck|Wild,IRD_64866950|2006543023|H5N2|IRD_unlabel|NP|2018-02-12|Asia/Taiwan|goose|goose|Domestic,EPI_ISL_81323|286980|H4N6|na|NS|2010-08-28|Europe/Poland|otheravian|common_teal|Wild,,IRD_64866950|2006543025|H5N2|IRD_unlabel|PB1|2018-02-12|Asia/Taiwan|goose|goose|Domestic,
,,EPI_ISL_273571|1072049|H1N1|na|HA|2015-08-12|NorthAmerica/Canada|anasplatyrhynchos|mallard|Wild,,EPI_ISL_273549|1072156|H4N5|na|HA|2016-08-10|NorthAmerica/Canada|anassp.|duck|Domestic,EPI_ISL_698071|1825327|H5N2|2.3.4.4h|HA|2019-02-22|Asia/China|chicken|chicken|Domestic,IRD_86312685|2341769217|H6N1|IRD_unlabel|HA|2018-07-18|SouthAmerica/Chile|yellow_billedpintail|yellow_billedpintail|Wild,,,EPI_ISL_344535|1381436|H9N2|2.3.4.4b|HA|2018-01-24|Africa/Egypt|chicken|chicken|Domestic,EPI_ISL_70439|244183|H9N2|na|MP|2006-05-25|Asia/Korea_Republicof|chicken|chicken|Domestic,EPI_ISL_273541|1071420|H1N1|unassigned|NA|2016-08-28|NorthAmerica/Canada|anasplatyrhynchos|mallard|Wild,EPI_ISL_698071|1825329|H5N2|2.3.4.4h|NA|2019-02-22|Asia/China|chicken|chicken|Domestic,,,IRD_87111604|2129366502|H12N5|IRD_unlabel|NA|2019-03-23|Oceania/Australia|ruddyturnstone|ruddyturnstone|Wild,EPI_ISL_698004|1835505|H5N6|2.3.4.4h|NA|2018-06-21|Asia/China|duck|duck|Domestic,,EPI_ISL_257145|965900|H3N8|3C.3a1|NA|2011-11-11|NorthAmerica/Guatemala|anasdiscors|blue_winged_teal|Wild,,,,,EPI_ISL_12866390|2044655|H5N8|2.3.4.4b|PB1|2022-01-19|Africa/Egypt|gallusgallus|chicken|Domestic,
,,IRD_00689563|1407204420|H1N2|IRD_unlabel|HA|2013-05-15|/UnitedStates|ruddyturnstone|ruddyturnstone|Wild,,,EPI_ISL_697833|1827319|H5N6|2.3.4.4h|HA|2018-08-26|Asia/China|chicken|chicken|Domestic,,,,,,IRD_39390932|1847534076|H5N1|IRD_unlabel|NA|2019-08-|Asia/Vietnam|chicken|chicken|Domestic,EPI_ISL_697905|1833297|H5N2|2.3.4.4h|NA|2019-01-26|Asia/China|chicken|chicken|Domestic,,,EPI_ISL_273549|1170955|H4N5|na|NA|2016-08-10|NorthAmerica/Canada|anassp.|duck|Domestic,EPI_ISL_697833|1827321|H5N6|2.3.4.4h|NA|2018-08-26|Asia/China|chicken|chicken|Domestic,,EPI_ISL_7034|60855|H3N8|unassigned|NA|1986-11-06|NorthAmerica/UnitedStates|anasplatyrhynchos|mallard|Wild,,,,,,
,,EPI_ISL_273595|1072659|H1N1|na|HA|2016-08-12|NorthAmerica/Canada|anasplatyrhynchos|mallard|Wild,,,EPI_ISL_698008|1835223|H5N6|2.3.4.4h|HA|2018-12-17|Asia/China|duck|duck|Domestic,,,,,,IRD_81844286|1885910549|H1N1|IRD_unlabel|NA|2019-03-15|/Korea_Republicof|spot_billedduck|spot_billedduck|Wild,EPI_ISL_167459|545924|H3N2|na|NA|2010-01-16|Asia/China|anasplatyrhynchos|mallard|Wild,,,EPI_ISL_273598|1070477|H10N5|na|NA|2016-05-25|NorthAmerica/UnitedStates|calidrisalba|sanderling|Wild,EPI_ISL_698011|1834553|H5N6|2.3.4.4h|NA|2018-06-22|Asia/China|duck|duck|Domestic,,IRD_81303222|1510890925|H7N8|IRD_unlabel|NA|1979--|NorthAmerica/Canada|pintailduck|pintailduck|Wild,,,,,,
,,,,,EPI_ISL_698002|1828831|H5N6|2.3.4.4h|HA|2018-04-25|Asia/China|chicken|chicken|Domestic,,,,,,,EPI_ISL_344535|1420310|H9N2|2.3.4.4b|NA|2018-01-24|Africa/Egypt|chicken|chicken|Domestic,,,EPI_ISL_273549|1072122|H4N5|na|NA|2016-08-10|NorthAmerica/Canada|anassp.|duck|Domestic,EPI_ISL_25290|222892|H4N6|na|NA|2007-09-15|NorthAmerica/UnitedStates|anasdiscors|blue_winged_teal|Wild,,EPI_ISL_25260|222920|H6N8|na|NA|2007-09-14|NorthAmerica/UnitedStates|anasplatyrhynchos|mallard|Wild,,,,,,
,,,,,EPI_ISL_697837|1834399|H5N6|2.3.4.4e|HA|2017-01-01|Asia/China|duck|duck|Domestic,,,,,,,EPI_ISL_697826|1822934|H5N2|2.3.4.4h|NA|2018-03-15|Asia/China|chicken|chicken|Domestic,,,,EPI_ISL_697834|1833345|H5N6|2.3.4.4h|NA|2018-12-26|Asia/China|chicken|chicken|Domestic,,EPI_ISL_273594|1072146|H10N8|na|NA|2016-05-24|NorthAmerica/UnitedStates|arenariainterpres|ruddy_turnstone|Wild,,,,,,
,,,,,EPI_ISL_697834|1833343|H5N6|2.3.4.4h|HA|2018-12-26|Asia/China|chicken|chicken|Domestic,,,,,,,IRD_61561535|1442986592|H6N2|IRD_unlabel|NA|2010-02-23|/Korea_Republicof|wildwaterfowl|wildwaterfowl|Wild,,,,EPI_ISL_697891|1825369|H5N6|2.3.4.4h|NA|2018-09-29|Asia/China|chicken|chicken|Domestic,,EPI_ISL_75721|263374|H3N8|unassigned|NA|2007-08-03|NorthAmerica/UnitedStates|duck|ring_necked_duck|Domestic,,,,,,
,,,,,EPI_ISL_697986|1826103|H5N6|2.3.4.4h|HA|2018-09-24|Asia/China|chicken|chicken|Domestic,,,,,,,EPI_ISL_33279|234282|H7N2|na|NA|1999|NorthAmerica/UnitedStates|avian|avian|Wild,,,,EPI_ISL_697908|1833265|H5N6|2.3.4.4h|NA|2019-01-26|Asia/China|chicken|chicken|Domestic,,EPI_ISL_267354|1011183|H16N8|NA|NA|2008-07-14|Europe/Netherlands|chroicocephalusridibundus|black_headed_gull|Wild,,,,,,
,,,,,EPI_ISL_697903|1833271|H5N6|2.3.4.4h|HA|2019-01-26|Asia/China|chicken|chicken|Domestic,,,,,,,,,,,EPI_ISL_75702|263222|H4N6|na|NA|2007-08-03|NorthAmerica/UnitedStates|anasplatyrhynchos|mallard|Wild,,EPI_ISL_344526|1381428|H5N8|NA|NA|2017-02-16|Africa/Egypt|duck|duck|Domestic,,,,,,
